timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
253528432,-0.32207265,0.013696805,-1.762208,0.0,0.6288995,-0.09680796,0.12799224,-0.7607441,0.4407686,0.0,0.0,0,0
253568253,-0.32119668,0.013085201,-1.7683594,0.0,0.6265624,-0.09637305,0.12776423,-0.7627635,0.43994296,0.0,0.0,0,0
253629060,-0.32268095,0.012628838,-1.7775481,0.0,0.6229526,-0.09642239,0.12863204,-0.76556295,0.43611234,0.0,0.0,0,0
253667528,-0.32446393,0.0125138685,-1.7855964,0.0,0.6197741,-0.09650077,0.12966815,-0.76795435,0.43455312,0.0,0.0,0,0
253727441,-0.32728505,0.011905976,-1.801183,0.0,0.6135974,-0.096588165,0.13132012,-0.7726085,0.43524534,0.0,0.0,0,0
253768165,-0.32647136,0.011050947,-1.8124827,0.0,0.6092083,-0.09592913,0.13128816,-0.7761612,0.43700206,0.0,0.0,0,0
253826829,-0.3237796,0.00897263,-1.8282732,0.0,0.603059,-0.09489066,0.13036487,-0.78123015,0.44021893,0.0,0.0,0,0
253867695,-0.32072228,0.0072877556,-1.8366975,0.0,0.5998017,-0.094084896,0.12906064,-0.7840467,0.44128338,0.0,0.0,0,0
253926362,-0.31855515,0.005630493,-1.8464464,0.0,0.5959705,-0.09346161,0.12817174,-0.78718245,0.43950856,0.0,0.0,0,0
253965793,-0.32041803,0.0049725696,-1.8528112,0.0,0.59333396,-0.093865685,0.12900846,-0.7889873,0.43657708,0.0,0.0,0,0
254025708,-0.3240777,0.0038842782,-1.8642145,0.0,0.5885846,-0.09463717,0.13067122,-0.79217225,0.43359065,0.0,0.0,0,0
254075375,-0.32855818,0.0032980144,-1.8759073,0.0,0.5836931,-0.09541277,0.13283332,-0.7953326,0.43407825,0.0,0.0,0,0
254116207,-0.33151698,0.0025556087,-1.8868066,0.0,0.5791602,-0.09584089,0.13431762,-0.79833996,0.43680984,0.0,0.0,0,0
254174628,-0.3336533,0.0014533252,-1.9031487,0.0,0.572442,-0.09579442,0.13563858,-0.8029545,0.44258264,0.0,0.0,0,0
254214682,-0.3335137,0.0005284101,-1.913357,0.0,0.56828016,-0.09543391,0.13580674,-0.80591965,0.44614887,0.0,0.0,0,0
254273961,-0.333501,-0.0011046529,-1.9272448,0.0,0.5625595,-0.0951463,0.13600157,-0.80992436,0.44832736,0.0,0.0,0,0
254313703,-0.33252677,-0.001678884,-1.9357831,0.0,0.5591034,-0.09452568,0.13585024,-0.8124118,0.44752002,0.0,0.0,0,0
254373428,-0.33427733,-0.0024386793,-1.948627,0.0,0.55374,-0.094445966,0.13695817,-0.815901,0.44647282,0.0,0.0,0,0
254413223,-0.3345372,-0.0031967014,-1.9574251,0.0,0.5500806,-0.0942241,0.13727002,-0.81834596,0.44714049,0.0,0.0,0,0
254473007,-0.33844745,-0.003834635,-1.9724067,0.0,0.5437068,-0.09451863,0.13940607,-0.8222014,0.44908226,0.0,0.0,0,0
254512660,-0.34000972,-0.0037314147,-1.9837447,0.0,0.538971,-0.09410529,0.14061211,-0.82515615,0.45010227,0.0,0.0,0,0
254572233,-0.3404175,-0.0043557137,-2.0018377,0.0,0.5314205,-0.09319673,0.14146084,-0.8299973,0.45255822,0.0,0.0,0,0
254612019,-0.3384966,-0.0049514025,-2.0130491,0.0,0.5268052,-0.092144325,0.14102383,-0.8331254,0.45452657,0.0,0.0,0,0
254672503,-0.3357697,-0.0062064976,-2.0274107,0.0,0.520843,-0.09094413,0.14021331,-0.83713317,0.45640612,0.0,0.0,0,0
254711622,-0.3333056,-0.0069985613,-2.0348191,0.0,0.517793,-0.09011832,0.13930991,-0.83926266,0.45635772,0.0,0.0,0,0
254771206,-0.3364096,-0.007575877,-2.0449302,0.0,0.51336235,-0.090452574,0.14092165,-0.84167606,0.4545951,0.0,0.0,0,0
254830566,-0.3402378,-0.008309774,-2.057716,0.0,0.50774485,-0.09083168,0.14292729,-0.8446991,0.45413497,0.0,0.0,0,0
254871483,-0.34464106,-0.008884922,-2.0680907,0.0,0.5031137,-0.09144039,0.14511663,-0.8470279,0.45553288,0.0,0.0,0,0
254910120,-0.3465068,-0.009399138,-2.0801456,0.0,0.49787566,-0.091246895,0.1463297,-0.8499303,0.4576032,0.0,0.0,0,0
254969867,-0.34771743,-0.010106005,-2.0987701,0.0,0.48983106,-0.09047855,0.14751665,-0.8544695,0.4614795,0.0,0.0,0,0
255029534,-0.34812325,-0.008378454,-2.116394,0.0,0.48239678,-0.08853196,0.14890029,-0.8586526,0.47595945,0.0,0.0,0,0
255069201,-0.3480035,-0.0029992312,-2.1262941,0.0,0.47855633,-0.08545092,0.15057403,-0.86081904,0.50373,0.0,0.0,0,0
255109096,-0.34922466,0.0029349476,-2.1351757,0.0,0.47512865,-0.082511485,0.15288797,-0.8625949,0.53167915,0.0,0.0,0,0
255169764,-0.35047376,0.012234189,-2.1481016,0.0,0.47019723,-0.07778841,0.15613785,-0.86515,0.5748412,0.0,0.0,0,0
255229360,-0.3519306,0.021802843,-2.160675,0.0,0.4654128,-0.072985426,0.15946849,-0.86754465,0.6193704,0.0,0.0,0,0
255267956,-0.35566524,0.028733112,-2.1700935,0.0,0.46170843,-0.07007561,0.1630195,-0.86910266,0.650538,0.0,0.0,0,0
255309057,-0.3589307,0.035926774,-2.182073,0.0,0.4569241,-0.06669924,0.16648367,-0.8712375,0.68618715,0.0,0.0,0,0
255367419,-0.3588519,0.0422853,-2.2011065,0.0,0.44909278,-0.062301014,0.16848361,-0.87524146,0.7167235,0.0,0.0,0,0
255427000,-0.35710338,0.035413213,-2.222817,0.0,0.43910053,-0.06311967,0.16689211,-0.8805417,0.6947674,0.0,0.0,0,0
255467110,-0.35630062,0.039064996,-2.2376804,0.0,0.4328457,-0.060085103,0.16778107,-0.8836764,0.7124957,0.0,0.0,0,0
255526639,-0.3552041,0.039694607,-2.2603135,0.0,0.42289755,-0.057670098,0.16809423,-0.888581,0.7150743,0.0,0.0,0,0
255566569,-0.3527959,0.04061401,-2.2745163,0.0,0.41671383,-0.055562012,0.1676145,-0.89172184,0.7166625,0.0,0.0,0,0
